,chin up,dead lift,one arm dumb bell row,reverse grip pull down,seated cable row,Hyper-extension,dumb bell side bent,sit up
2020-02-18,-20,0,40,40,40,30,30,35
2020-02-25,-15,0,42.5,45,40,30,25,10
2020-03-03,-10,40,45,45,40,30,25,10
2020-03-10,-5,45,45,45,42.5,30,25,10
2020-05-26,-10,0,30,40,40,15,20,0
2020-06-02,-10,0,30,40,40,15,20,0
2020-06-09,-10,45,40,45,40,20,20,10
2020-06-16,-10,45,40,45,45,25,25,5
2020-06-23,-5,45,45,45,45,30,30,10
2020-06-30,-5,45,45,50,45,30,30,10
2020-07-07,-10,0,45,45,45,30,30,10
2020-07-14,-10,45,50,40,45,35,35,10
2020-07-21,-10,55,50,40,50,35,35,10
2020-07-28,-10,55,50,45,50,35,35,0
2020-08-04,-10,45,50,45,50,35,35,0
2020-08-11,-5,55,55,45,45,35,35,0
2020-08-18,-5,55,50,50,45,35,35,0
2020-08-25,-5,60,45,50,50,35,35,0
2020-09-01,-5,50,50,50,50,35,35,0
