,military press,barbell upright rows,side laterals,straight-arm pulldown,bent over laterals,dumbbell front raise,barbell overhead shoulder press,sit up
2020-02-20,30,20,20,0,20,20,30,10
2020-02-27,30,20,20,0,20,20,35,10
2020-03-05,30,25,20,0,15,20,30,10
2020-03-12,35,27.5,20,0,15,20,30,5
2020-05-28,25,20,20,0,15,15,25,0
2020-06-04,25,20,20,0,20,20,25,0
2020-06-11,25,25,20,0,20,20,25,10
2020-06-18,30,25,20,0,20,20,30,10
2020-06-25,30,25,20,30,20,20,30,10
2020-07-02,30,25,20,32.5,20,15,30,10
2020-07-09,25,25,20,40,20,15,35,0
2020-07-16,25,25,22.5,40,10,20,30,0
2020-07-23,25,25,22.5,40,10,20,30,10
2020-07-30,27.5,25,20,40,10,20,30,10
